Reporting month;;;;;Sales Month;Platform;Country / Region;Label Name;Artist Name;Release title;Track title;UPC;ISRC;Release Catalog nb;Release type;Sales Type;Quantity;Client Payment Currency;Unit Price;Mechanical Fee;Gross Revenue;Client share rate;Net Revenue
2024-11-01;;;;;2024-09-01;TikTok;Chad;Subaşı Yapım;Orheyn;Konvoy;Konvoy ;3617055975893;TC-AEX-20-11348;;Music release;Creation;2;EUR;0.002173;0.000000;0.004346615031395;0.7;0.003042630521976
2024-11-01;;;;;2024-10-01;Facebook / Instagram;Yemen;Müzik Dağıtım;Biser King;Dom Dom Yes Yes;Dom Dom Yes Yes Slowed+Reverbs;3617383788684;FR-2X4-24-63034;;Music release;Stream;9203;EUR;0.000025;0.000000;0.233134651600000;0.7;0.163194256120000
2024-11-01;;;;;2024-11-01;Apple Music;Russian federation;Subaşı Yapım;Ceybesk;Anadolubesk;Arpa Buğday Daneler ;3617664290578;TR-CFF-24-00001;;Music release;Stream;12;EUR;0.000769;0.000000;0.009228264829400;0.7;0.006459785380580
2024-11-01;;;;;2024-11-01;YouTube UGC;United kingdom;Cansever Müzik;Cansever, Mahmut Görgen;Deli Yüreğim;Deli Yüreğim Yasak;3617224762958;DG-A06-23-36277;;Music release;Stream;32;EUR;0.002515;0.000000;0.080480696328620;0.7;0.056336487430034
2024-11-01;;;;;2024-11-01;YouTube Official Content;Slovakia;Müzik Dağıtım;NEYMO, Amentu;NFS;NFS ;3617054023236;TR-CFF-22-00048;;Music release;Stream;2;EUR;0.005575;0.000000;0.011150773220875;0.7;0.007805541254612
2024-11-01;;;;;2024-09-01;TikTok;Luxembourg;Müzik Dağıtım;Orheyn;Mafia Music;Mafia Music ;3617661423382;FR-X45-22-95552;;Music release;Creation;2;EUR;0.002173;0.000000;0.004346615031395;0.7;0.003042630521976
2024-11-01;;;;;2024-11-01;YouTube Official Content;Belgium;Müzik Dağıtım;Biser King;Dom Dom Yes Yes;Dom Dom Yes Yes ;3616846508005;TR-BYT-22-00038;;Music release;Stream;348;EUR;0.002319;0.000000;0.806902025166954;0.7;0.564831417616868
2024-11-01;;;;;2024-09-01;TikTok;Latvia;Müzik Dağıtım;Biser King;Dom Dom Yes Yes;Dom Dom Yes Yes ;3617057738816;TR-BYT-22-00038;;Music release;Creation;5;EUR;0.002173;0.000000;0.010866537578487;0.7;0.007606576304941
2024-11-01;;;;;2024-09-01;TikTok;Thailand;Müzik Dağıtım;Orheyn;Mafia Music;Mafia Music ;3617661423382;FR-X45-22-95552;;Music release;Creation;2;EUR;0.002173;0.000000;0.004346615031395;0.7;0.003042630521976
2024-11-01;;;;;2024-09-01;TikTok;Mauritius;Müzik Dağıtım;Biser King;Dom Dom Yes Yes;Dom Dom Yes Yes Bass Booster;3617383788677;FR-2X4-24-63033;;Music release;Creation;5;EUR;0.002173;0.000000;0.010866537578487;0.7;0.007606576304941
